lens,subjectivity,com,polarity,JJ,VB,NN,NNP,VBD,VBP,JJR,RB,WP,JJS,IN,NNS,VBZ,MD,FW,CD,VBN,VBG,DT,PRP,RBR,CC,RBS,WDT,RP,WRB,TO,UH,SYM
399,0.5441666666666667,0.7914,1.0,9,3,16,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
329,0.5015151515151516,0.8769,1.0,6,1,10,0,0,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
276,0.2,0.705,1.0,6,1,8,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
283,0.285,0.0516,1.0,5,0,20,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
141,0.55,0.4939,1.0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
102,0.0,0.0,0.0,3,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
50,0.0,0.0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
34,0.3,0.6369,1.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
541,0.45,-0.4215,-1.0,7,0,24,1,1,2,0,3,0,0,3,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
361,0.7443181818181818,0.3612,1.0,7,0,21,0,0,1,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
407,0.665625,0.3919,1.0,6,2,11,0,0,4,2,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
714,0.5656162464985994,0.6208,1.0,11,1,38,0,0,1,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0
38,1.0,0.6115,1.0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
277,0.4261363636363636,0.8979,1.0,3,0,21,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
699,0.5920634920634921,0.8271,1.0,13,1,26,0,1,5,1,3,0,0,2,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
43,1.0,0.0,0.0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
30,0.0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
488,0.5618181818181818,0.6124,1.0,10,1,18,0,0,4,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
292,0.8,0.6908,1.0,4,1,10,0,0,3,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
